longitude,latitude,OBJECTID,DATE,x,year,CD1____KM_,CD2____KM_,CD3____KM_,CD4____KM_,WD1__G_KM_,WD2__G_KM_,WD3__G_KM_,WD4__G_KM_,SEA_STATE_,SOURCE,INFO,CD4,,
-64.56,19.94,1,9,1,10,19.94,-64.56,58102.96,21259.89,2226.17,0,4.45,26.83,4.23,0,2.5,M. Eriksen,NAG10-SM001,0
-64.38,20.22,2,9,1,10,20.22,-64.38,6639.79,4031.3,1067.11,0,1.04,28.69,40.79,0,2,M. Eriksen,NAG10-SM002,0
-64.2,20.45,3,9,1,10,20.45,-64.2,15246.71,12147.79,991.66,0,2.57,42.62,3503.27,0,2,M. Eriksen,NAG10-SM003,0
-63.83,21.13,4,10,1,10,21.13,-63.83,5347.35,6851.29,1420.39,0,1.15,12.86,4.26,0,2,M. Eriksen,NAG10-SM004,0
-63.59,21.47,5,10,1,10,21.47,-63.59,4090.58,5317.76,409.06,0,0.48,29.63,4.36,0,2,M. Eriksen,NAG10-SM005,0
-63.42,21.74,6,10,1,10,21.74,-63.42,44914.59,46144.76,33133.71,0,6.26,47.98,2051.84,0,2,M. Eriksen,NAG10-SM006,0
-63.15,22.15,7,11,1,10,22.15,-63.15,17324.82,4519.52,502.17,0,1.38,3.52,1.13,0,2,M. Eriksen,NAG10-SM007,0
-62.76,22.84,8,11,1,10,22.84,-62.76,10467.48,10329.75,413.19,0,1.24,33.9,15.84,0,2,M. Eriksen,NAG10-SM008,0
-62.81,24.36,9,12,1,10,24.36,-62.81,7434.53,9436.14,190.63,0,1.14,28.59,0.29,0,4,M. Eriksen,NAG10-SM009,0
-62.81,24.36,10,12,1,10,24.36,-62.81,0,1510.37,704.84,0,0,8.96,13.59,0,4,M. Eriksen,NAG10-SM010,0
-62.72,24.77,11,13,1,2010,24.77,-62.72,377.59,1636.23,377.59,0,0.11,5.41,7.93,0,4,M. Eriksen,NAG10-SM011,0
-62.48,25.38,12,13,1,2010,25.38,-62.48,3126.56,2918.12,416.87,0,0.46,3.99,0.42,0,3,M. Eriksen,NAG10-SM012,0
-62.44,25.56,13,13,1,2010,25.56,-62.44,428395.48,132757.97,119370.62,0,15.62,837.83,25752.82,0,2,M. Eriksen,NAG10-SM013,0
-61.72,26.09,14,14,1,2010,26.09,-61.72,0,2111.27,351.88,0,0,4.52,8.45,0,4.5,M. Eriksen,NAG10-SM014,0
-62.99,29.25,15,15,1,2010,29.25,-62.99,4682.38,14983.63,1560.79,0,0.61,86,105.82,0,2.5,M. Eriksen,NAG10-SM015,0
-63.22,29.75,16,15,1,2010,29.75,-63.22,3020.74,35544.01,3725.58,0,0.41,165.27,613.71,0,2,M. Eriksen,NAG10-SM016,0
-63.71,30.55,17,16,1,2010,30.55,-63.71,31985.11,157152.3,4991.9,0,8.1,778.18,599.95,0,2,M. Eriksen,NAG10-SM017,0
-64.01,31.18,18,17,1,2010,31.18,-64.01,1173.82,10137.53,1814.08,0,0.45,47.17,101.16,0,2.5,M. Eriksen,NAG10-SM018,0
-64.27,31.54,19,17,1,2010,31.54,-64.27,9953.75,31224.77,2590.7,0,1.5,135.67,67.49,0,2,M. Eriksen,NAG10-SM019,0
-64.54,31.96,20,18,1,2010,31.96,-64.54,4082.42,24984.39,2776.04,0,0.65,154.97,1465.26,0,2,M. Eriksen,NAG10-SM020,0
-64.43,32.32,21,28,1,2010,32.32,-64.43,6826,37944.54,4818.35,0,1.2,287.29,307.97,0,2,M. Eriksen,NAG10-SM021,0
-64.63,32.08,22,28,1,2010,32.08,-64.63,0,52359.45,3272.47,0,0,449.15,175.08,0,2.5,M. Eriksen,NAG10-SM022,0
-62.77,31.59,23,29,1,2010,31.59,-62.77,2757.7,29685.78,811.09,0,0.45,209.89,50.94,0,2.5,M. Eriksen,NAG10-SM023,0
-62.04,31.2,24,29,1,2010,31.2,-62.04,0,14085.83,2134.22,0,0,109.54,90.92,0,2.5,M. Eriksen,NAG10-SM024,0
-61.31,30.87,25,30,1,2010,30.87,-61.31,5454.11,85973.98,7032.93,0,1.18,505.72,701.43,0,2.5,M. Eriksen,NAG10-SM025,0
-58.71,30.07,26,31,1,2010,30.07,-58.71,3346.84,40533.95,5454.11,0,0.47,187.16,193.5,0,2,M. Eriksen,NAG10-SM026,0
-58.71,30.07,27,31,1,2010,30.07,-58.71,619.79,2107.27,371.87,0,0.74,25.54,14.5,0,1.5,M. Eriksen,NAG10-SM027,0
-56.7,29.68,28,1,2,10,29.68,-56.7,434.88,4566.23,543.6,0,0.13,33.59,93.72,0,3,M. Eriksen,NAG10-SM028,0
-54.96,29.54,29,2,2,10,29.54,-54.96,2727.05,64494.84,2999.76,0,0.88,288.8,103.36,0,2,M. Eriksen,NAG10-SM029,0
-53.61,29.28,30,2,2,10,29.28,-53.61,31002.3,36799.48,1638.33,0,5.83,79.27,279.4,0,1.5,M. Eriksen,NAG10-SM030,0
-51.89,28.91,31,3,2,10,28.91,-51.89,2680.58,27452.85,1756.24,0,0.63,139.67,35.77,0,1.5,M. Eriksen,NAG10-SM031,0
-51.08,28.77,32,3,2,10,28.77,-51.08,43126.42,99927.07,4558.08,0,9.47,341.92,134.99,0,3,M. Eriksen,NAG10-SM032,0
-50.1,28.55,33,3,2,10,28.55,-50.1,1431.7,26997.84,1636.23,0,0.78,268.53,205.55,0,3,M. Eriksen,NAG10-SM033,0
-35.02,35.67,34,9,2,10,35.67,-35.02,3151.26,8241.76,0,0,0.44,56.72,0,0,3,M. Eriksen,NAG10-SM034,0
-33.39,36.29,35,9,2,10,36.29,-33.39,1163.54,19198.46,3781.52,0,0.23,154.54,214.24,0,2.5,M. Eriksen,NAG10-SM035,0
-39.28,-23.5,36,28,8,2010,-23.5,-39.28,13612.36,9487.4,2681.22,0,1.69,20.01,19.86,0,3,M. Eriksen,SAG10-1,0
-37.49,-23.73,37,29,8,2010,-23.73,-37.49,2142.69,3116.63,0,0,0.53,23.76,0,0,3,M. Eriksen,SAG10-2,0
-36.69,-23.89,38,29,8,2010,-23.89,-36.69,1080.87,6330.82,154.41,0,0.19,61.13,1.85,0,3,M. Eriksen,SAG10-3,0
-33.96,-24.11,39,30,8,2010,-24.11,-33.96,17251.58,21520.02,1244.96,0,1.6,126.81,4.62,0,2,M. Eriksen,SAG10-4,0
-30.85,-23.03,40,31,8,2010,-23.03,-30.85,8264.64,16028.4,0,0,0.93,104.94,0,0,3,M. Eriksen,SAG10-5,0
-29.25,-22.3,41,1,9,10,-22.3,-29.25,1051.23,2803.27,1051.23,0,0.7,22.43,89,0,5,M. Eriksen,SAG10-6,0
-28.25,-20.83,42,2,9,10,-20.83,-28.25,1313.45,2189.08,0,0,0.04,10.95,0,0,4,M. Eriksen,SAG10-7,0
-27.34,-19.8,43,2,9,10,-19.8,-27.34,1868.85,4360.64,0,0,0.31,18.94,0,0,3,M. Eriksen,SAG10-8,0
-26.16,-18.62,44,3,9,10,-18.62,-26.16,194.67,584.01,0,0,0.02,1.95,0,0,3,M. Eriksen,SAG10-9,0
-25.09,-17.89,45,3,9,10,-17.89,-25.09,1816.8,0,0,0,1.09,0,0,0,3,M. Eriksen,SAG10-10,0
-23.73,-16.98,46,4,9,10,-16.98,-23.73,1968.85,3281.42,0,0,0.16,2.26,0,0,4,M. Eriksen,SAG10-11,0
-22.53,-16.24,47,4,9,10,-16.24,-22.53,1006.3,503.15,335.43,0,0.07,3.22,4.51,0,4,M. Eriksen,SAG10-12,0
-20.74,-13.99,48,5,9,10,-13.99,-20.74,0,4488.9,320.64,0,0,20.2,43.61,0,4,M. Eriksen,SAG10-13,0
-41.04,-26.43,49,10,11,10,-26.43,-41.04,0,1973.57,845.81,0,0,5.47,1.41,0,4,M. Eriksen,SAG10-14,0
-39.92,-26.39,50,11,11,10,-26.39,-39.92,363.39,5087.42,1453.55,0,0.03,29,10.97,0,4,M. Eriksen,SAG10-15,0
-38.76,-26.19,51,11,11,10,-26.19,-38.76,503.15,2515.76,503.15,0,0.25,11.22,25.84,0,4,M. Eriksen,SAG10-16,0
-37.59,-26.13,52,12,11,10,-26.13,-37.59,0,4862.5,540.28,0,0,31.74,57.16,0,4,M. Eriksen,SAG10-17,0
-36.5,-26,53,12,11,10,-26,-36.5,3400.01,8985.73,485.72,0,0.31,51.56,40.53,0,4,M. Eriksen,SAG10-18,0
-35.37,-25.9,54,13,11,2010,-25.9,-35.37,1962.29,3270.48,654.1,0,0.36,6.87,11.05,0,3,M. Eriksen,SAG10-19,0
-34.21,-25.8,55,13,11,2010,-25.8,-34.21,0,14090.91,0,0,0,84.96,0,0,3,M. Eriksen,SAG10-20,0
-35.08,-25.92,56,14,11,2010,-25.92,-35.08,1206.33,6433.74,4423.19,0,0.44,10.86,50.59,0,3,M. Eriksen,SAG10-21,0
-31.97,-26.08,57,14,11,2010,-26.08,-31.97,0,8328.91,0,0,0,80.11,0,0,3,M. Eriksen,SAG10-22,0
-31.09,-26.31,58,16,11,2010,-26.31,-31.09,1022.03,7767.4,817.62,0,0.04,57.58,122.87,0,3,M. Eriksen,SAG10-23,0
-30.03,-26.49,59,17,11,2010,-26.49,-30.03,2289.34,9320.88,654.1,0,1.99,78.03,28.29,0,4,M. Eriksen,SAG10-24,0
-29.1,-26.8,60,18,11,2010,-26.8,-29.1,473.98,1895.93,0,0,0.33,18.84,0,0,4,M. Eriksen,SAG10-25,0
-28.09,-26.7,61,18,11,2010,-26.7,-28.09,137.42,2336.06,549.66,0,0.12,18.36,115.29,0,4,M. Eriksen,SAG10-26,0
-26.89,-27.33,62,19,11,2010,-27.33,-26.89,893.57,3797.69,446.79,0,0.22,52.72,27.48,0,5,M. Eriksen,SAG10-27,0
